sequence,x_pri,y_pri,z_pri,rng_pri,x_sec,y_sec,z_sec,rng_sec,pri_coarse,pri_fine,sec_coarse,sec_fine
0,4,4,4,0,11,2,2,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,3,3,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,4,0,410985600,1343,410985600,39
0,8,8,8,0,21,4,3,0,410985600,1343,410985600,39
